ID,Name | ,Description | Spanish Description 
A01,Avacado | A,"Enligsh Description" | "Spanish Description"
B01,Bean | B,"English Description" | "Spanish Description"
C01,Cake | C,"English Description" | "Spanish Description"
C02,Chicken | C,"English Description" | "Spanish Description"
D01,Dapaglifozin | D,"English Description" | "Spanish Description"
E01,Empaglifozin | E,"English Description" | "Spanish Description"
G01,Glimepiride | G,"English Description" | "Spanish Description"
G02,Glipizide | G,"English Description" | "Spanish Description"
G03,Glyburide | G,"English Description" | "Spanish Description"
I01,Insulin | I,"English Description" | "Spanish Description"
L01,Linagliptin | L,"English Description" | "Spanish Description"
M01,Metformin | M,"English Description" | "Spanish Description"
S01,Sitagliptin | S,"English Description" | "Spanish Description"
T01,Tortilla | T,"English Description" | "Spanish Description"
